image,position_mm
29_n15_l3_0000.tif,0.0
29_n15_l3_0001.tif,0.5
29_n15_l3_0002.tif,1.0
29_n15_l3_0003.tif,1.5
29_n15_l3_0004.tif,2.0
29_n15_l3_0005.tif,2.5
29_n15_l3_0006.tif,3.0
29_n15_l3_0007.tif,3.5
29_n15_l3_0008.tif,4.0
29_n15_l3_0009.tif,4.5
29_n15_l3_0010.tif,5.0
29_n15_l3_0011.tif,5.5
29_n15_l3_0012.tif,6.0
29_n15_l3_0013.tif,6.5
29_n15_l3_0014.tif,7.0
29_n15_l3_0015.tif,7.5
29_n15_l3_0016.tif,8.0
29_n15_l3_0017.tif,8.5
29_n15_l3_0018.tif,9.0
29_n15_l3_0019.tif,9.5
29_n15_l3_0020.tif,10.0
29_n15_l3_0021.tif,10.5
29_n15_l3_0022.tif,11.0
29_n15_l3_0023.tif,11.5
29_n15_l3_0024.tif,12.0
29_n15_l3_0025.tif,12.5
29_n15_l3_0026.tif,13.0
29_n15_l3_0027.tif,13.5
29_n15_l3_0028.tif,14.0
29_n15_l3_0029.tif,14.5
29_n15_l3_0030.tif,15.0
29_n15_l3_0031.tif,15.5
29_n15_l3_0032.tif,16.0
29_n15_l3_0033.tif,16.5
29_n15_l3_0034.tif,17.0
29_n15_l3_0035.tif,17.5
29_n15_l3_0036.tif,18.0
29_n15_l3_0037.tif,18.5
29_n15_l3_0038.tif,19.0
29_n15_l3_0039.tif,19.5
29_n15_l3_0040.tif,20.0
29_n15_l3_0041.tif,20.5
29_n15_l3_0042.tif,21.0
29_n15_l3_0043.tif,21.5
29_n15_l3_0044.tif,22.0
29_n15_l3_0045.tif,22.5
29_n15_l3_0046.tif,23.0
29_n15_l3_0047.tif,23.5
29_n15_l3_0048.tif,24.0
29_n15_l3_0049.tif,24.5
29_n15_l3_0050.tif,25.0
